Date,AAPL,XOM,GOOG,WMT,MSFT,GE,IBM,CVX,BRK-B,T,PG,JNJ,PFE,WFC,KO,JPM,ORCL,MRK,VZ,AMZN,INTC,PEP,ABT,QCOM,CSCO,BAC,SLB,C,CMCSA,DIS,MCD,HD,UTX,OXY,COP,UPS,MO,AMGN,AXP,USB
2007-01-03,83.8,74.11,467.59,47.55,29.86,37.97,97.27,70.97,72.86,34.95,64.54,66.4,26.29,35.74,20.1,48.07,17.51,44.02,37.82,38.7,20.35,62.72,19.25,37.46,27.73,53.33,60.82,498.2,25.69,34.2,43.87,41.07,62.81,46.72,40.78,74.97,13.73,68.4,60.36,36.17
2007-01-04,85.66,72.72,483.26,47.78,29.81,37.75,98.31,70.28,72.2,34.5,64.05,67.23,26.38,35.8,20.11,48.19,17.68,45.11,38.03,38.9,21.17,63.15,19.62,39.15,28.46,53.67,59.3,496.49,25.92,34.47,43.54,40.57,62.87,45.76,39.51,75.09,13.91,71.33,59.92,36.2
2007-01-05,85.05,73.24,487.19,47.39,29.64,37.56,97.42,70.55,71.56,33.96,63.5,66.62,26.3,35.6,19.97,47.79,17.64,44.3,37.38,38.37,21.1,62.95,19.62,38.69,28.47,53.24,59.2,493.87,25.62,34.19,43.54,39.79,62.68,45.45,40.32,74.15,13.83,71.5,59.13,35.77
2007-01-08,85.47,72.65,483.58,47,29.93,37.55,98.9,71.45,71.72,33.81,63.64,66.51,26.16,35.5,20.09,47.95,17.86,44.29,36.81,37.5,21.01,63.09,19.69,38.26,28.63,53.45,58.67,496.4,25.58,34.5,43.71,39.49,63.19,45.33,40.84,74.38,13.97,70.93,59.69,35.65
2007-01-09,92.57,72.09,485.5,47.39,29.96,37.55,100.07,70.63,73,33.94,63.48,66.26,26.17,35.59,20.11,47.75,17.82,43.88,36.96,37.78,21.03,63.35,19.86,37.84,28.47,53.5,58.19,492.07,25.74,34.45,43.79,39.32,62.47,43.66,39.77,74.08,13.99,71.27,59.31,35.63
2007-01-10,97,70.99,489.46,47.28,29.66,37.56,98.89,69.41,73.02,34.03,64.24,66.15,26.2,35.48,20.14,48.1,17.77,44.12,36.75,37.15,21.52,64.15,19.93,38.55,28.68,53.58,57.03,488.1,25.84,34.49,44.26,39.78,62.69,43.13,38.59,73.63,14.16,71.04,59.27,35.61
2007-01-11,95.8,70.98,499.72,47.6,30.7,37.92,98.65,68.69,73.4,34.49,64.64,66.73,26.46,35.54,20.16,48.31,17.39,44.26,37.11,37.4,21.92,64.95,19.91,39.48,28.69,53.26,56.52,488.46,25.86,34.99,44.51,40.08,63.7,43.08,36.97,73.65,14.19,71.91,59.45,35.51
2007-01-12,94.62,72.66,505,47.98,31.21,37.89,99.34,70.35,73.36,34.73,65,66.64,26.64,35.51,20.09,47.99,17.5,44.79,37.33,38.2,22.13,64.7,19.95,39.62,28.92,53.38,57.89,490.35,26.55,35.21,44.22,40.11,64.42,44.4,38.17,74.44,14.04,73.27,59.01,35.55
2007-01-16,97.1,71.63,504.28,48.31,31.16,38.11,100.82,69.67,72.38,34.63,65,66.54,26.77,36.23,20.07,48.39,17.3,44.95,37.16,38.66,22.3,64.85,20.02,39.47,28.04,53.44,57.79,493.87,26.78,35.03,44.57,40.29,64.53,43.57,37.56,74.88,14.17,73.5,59.13,35.75
2007-01-17,94.95,72.46,497.28,48.2,31.1,37.98,100.02,70.82,72.41,34.49,65.36,66.87,26.89,36.27,20.11,48.43,17.52,45.01,36.88,37.88,21.04,65,20.39,39.19,26.98,53.32,58.48,490.44,26.95,35.25,44.86,40.29,64.82,44.01,38,75,14.06,73.93,59.22,35.76
2007-01-18,89.07,71.96,487.83,48.39,31,38,99.45,70.92,72.67,35.02,65.54,67.71,27.17,36.2,20,48.15,17.12,45.74,37.57,36.98,20.65,64.92,20.88,38.49,26.45,53.29,57.9,490.44,27.16,35.85,44.59,40.87,64.91,43.61,37.44,74.81,13.96,73.69,59,35.57
2007-01-19,88.5,73.53,489.75,48.31,31.11,36.95,96.17,72.32,73.12,35.07,66.09,67.76,27.22,36.04,19.97,48.76,17.27,45.6,37.25,37.02,20.82,64.82,21.17,38.87,26.7,53.59,61,491.44,26.86,35.5,44.81,40.55,65.18,44.75,38.24,75.02,13.85,74.25,58.09,35.46
2007-01-22,86.79,72.9,480.84,47.96,30.72,36.75,97.11,71.22,72.8,35.27,65.72,67.18,26.95,35.75,19.87,49.66,17,45.3,37.25,36.95,20.79,64.81,21.09,38.51,26.53,53.65,61,493.06,26.97,35.15,44.35,40.05,64.09,43.81,37.9,74.28,13.82,75.85,58.06,35.29
2007-01-23,85.7,74.49,479.05,47.81,30.74,36.55,97.08,72.56,72.48,35.36,65.64,66.5,26.37,36.01,19.91,49.83,17.12,45.73,37.49,36.43,20.55,64.84,21.11,38.13,26.04,53.32,63.62,491.35,26.82,35.58,44.85,40.43,66.14,45.09,38.85,73.62,13.93,74.6,57.54,35.4
2007-01-24,86.7,74.9,499.07,48.61,31.09,36.64,97.4,72.84,71.62,36.63,65.51,67.01,26.82,36.56,19.91,50.36,17.14,46.22,38.07,37.26,20.84,65.2,21.18,38.62,26.89,53.2,64.01,494.41,27.1,35.35,44.16,40.69,66.83,46.2,39.24,74.45,13.96,75.14,58.93,35.52
2007-01-25,86.25,73.52,488.09,48.15,30.45,36.34,97.51,71.52,71.72,36.79,64.92,66.68,26.36,36.08,19.83,50.21,16.98,46,37.5,37.08,20.6,64.42,20.8,38.16,26.22,52.4,62.62,486.3,26.19,34.94,43,40.09,66.21,45.4,38.31,73.61,13.95,74.85,57.77,35.27
2007-01-26,85.38,73.61,495.84,47.67,30.6,36.07,97.45,71.5,70.91,36.4,64.86,66.07,26.29,36.03,19.79,49.7,17.15,45.99,37.83,36.85,20.53,64.45,20.78,37.51,26.35,52.04,62.65,492.97,26.08,34.55,42.93,39.94,66.04,45.64,38.73,72.49,13.97,71.5,57.85,35.54
2007-01-29,85.94,73.2,492.47,47.63,30.53,36.19,98.54,71.53,72.14,36.51,64.88,66.15,26.06,35.95,19.74,49.47,17.27,45.51,38.03,37.43,20.89,64.6,20.83,37.15,26.21,51.46,62.02,487.47,26.39,34.68,43.23,39.91,65.69,45.17,38.64,73.65,13.98,69.97,57.64,35.38
2007-01-30,85.55,74.39,494.32,47.28,30.48,36.03,99.37,73.07,72.72,37.09,64.59,66.39,26.1,35.9,19.78,50.18,17.16,44.91,38.58,37.05,20.93,65.09,21.04,37.17,26.25,52.12,63.46,489.36,26.32,35.04,43.77,40.17,66.95,45.85,39.26,72.7,13.9,70.33,58.01,35.33
2007-01-31,85.73,74.1,501.5,47.69,30.86,36.05,99.15,72.88,73.35,37.63,64.87,66.8,26.24,35.92,19.81,50.93,17.16,44.75,38.52,37.67,20.96,65.24,20.96,37.66,26.62,52.58,63.49,497.12,26.71,35.17,44.35,40.74,68.02,46.36,39.71,72.28,13.87,70.37,58.22,35.6
2007-02-01,84.74,75.08,481.75,47.78,30.56,36.23,99,74.47,73.62,37.75,65.34,67.01,26.62,35.87,19.9,51.21,17.05,45.13,38,38.7,21.11,65.38,20.91,37.41,26.59,52.84,64.39,498.39,25.85,35.01,44.48,41.08,68.58,46.8,40.25,73.64,13.89,69.49,58.07,35.59
2007-02-02,84.75,75.54,481.5,48.08,30.19,36.27,99.17,74.04,72.64,38.12,65.34,66.58,26.8,35.86,19.96,50.93,17.42,44.73,38.17,37.39,21.23,65.04,20.83,37.19,27.14,52.74,65.12,497.75,25.94,35.18,44.54,40.83,68,47.29,40.24,74.17,13.74,69.45,58.16,35.81
2007-02-05,83.94,75.67,467.16,48.52,29.61,36.37,100.38,73.78,72.49,37.79,65.15,66.3,26.88,35.69,19.82,50.96,17.16,44.58,38.09,37.16,21.28,64.83,20.76,37.91,27.51,52.88,65.12,498.57,25.67,35.26,44.53,41.03,67.77,46.66,40.09,73.68,13.79,69.84,58.2,35.72
2007-02-06,84.15,75.46,471.48,48.58,29.51,36.31,99.85,73.37,72.64,37.51,64.59,66,26.83,35.9,19.88,51,17.02,44.64,38.08,38.27,21.31,64.39,20.75,37.68,27.28,53.21,64.87,500.4,25.56,35.19,44.77,41.27,68.41,46.65,39.85,73.93,13.66,69.66,58.06,36.02
2007-02-07,86.15,74.79,470.01,48.58,29.37,36.1,99.54,72.64,72.48,37.16,64.48,65.8,26.52,35.88,19.87,51.21,16.91,44.26,38.09,38.98,21.51,64.5,20.74,37.58,28.09,53.36,64.45,500.4,25.62,35.48,44.72,41.36,68.51,46.63,39.61,73.92,13.65,70,58.68,36.01
2007-02-08,86.18,75.46,471.03,48.31,29.26,35.74,99.62,73.75,72.22,37.38,64.59,65.76,26.44,35.56,19.8,50.93,16.71,43.92,37.95,39.1,21.36,63.31,20.62,38.26,28.14,53.32,64.95,495.75,24.94,35.29,44.35,41.09,68.05,47.23,39.99,73.33,13.53,69.78,58.49,35.93
2007-02-09,83.27,75.22,461.89,47.97,28.98,35.53,98.55,73.32,72.7,36.9,64.43,65.6,26.38,35.36,19.76,50.42,16.7,43.82,37.7,38.72,21.03,63.91,20.67,38.31,27.71,52.99,64.46,486.28,24.58,34.36,44.56,41,67.58,46.52,40.06,73.56,13.56,69.05,57.53,35.84
2007-02-12,84.88,74.6,458.29,47.74,28.94,35.64,98.58,72.32,72.48,36.96,64.16,65.46,26.22,35.6,19.83,50.44,16.65,43.85,37.57,38.85,20.8,63.72,20.85,38.05,27.54,53.04,63.6,486.55,24.08,33.92,44.73,41.44,67.04,45.99,39.49,73.87,13.59,68.49,57,36.02
2007-02-13,84.7,75.45,459.1,47.98,29.01,35.77,98.29,72.83,72.2,37.19,64.71,65.38,26.39,35.87,19.95,50.95,16.62,43.95,38.04,39.31,20.87,63.81,20.85,38.07,27.18,53.73,64.6,489.1,24.69,34.59,44.9,41.76,67.2,46.6,40.23,74.39,13.66,68.8,57.6,36.25
